town_name,latitude,longitude,population_density,urbanization_index,temperature,humidity,precipitation_last_24h,precipitation_last_7d,wind_speed,wind_direction,days_since_last_rain,avg_temp_past_week,max_temp_past_week,storm_warning_flag,elevation,slope,aspect,distance_to_water,impervious_surface_ratio,vegetation_density,soil_type,soil_moisture,surface_runoff,streamflow_index,drought_index,recent_fire_flag,fire_risk_score,flood_risk_score,hazard_class
Riverhead,40.8247,-72.4085,75.3403,0.0,88.7245,57.0224,0.3112,3.4807,10.6558,NE,13,86.4353,94.8517,0,32.5222,0.3108,51.2098,5.9474,0.0,1.0,Chalky,0.2044,0.0194,0.8071,0.7237,0,0.5943,0.2563,moderate
Southampton,41.1704,-73.357,4589.4275,0.8121,85.1115,60.4557,1.9563,4.0711,6.3711,NW,0,84.3147,95.7994,0,126.8557,13.6236,43.6986,0.0161,0.6932,0.1879,Rocky,0.2161,0.5434,0.4783,0.6413,0,0.4048,0.2144,moderate
East Hampton,41.0392,-73.2252,765.5157,0.3158,55.4882,89.6994,0.6394,2.6806,1.8181,E,15,53.6353,59.3197,0,34.6544,2.1664,109.1791,4.8325,0.3717,0.6333,Rocky,0.4155,0.6901,0.6591,0.5032,0,0.3309,0.2764,low
Huntington,40.9592,-71.9725,3165.269,0.6621,49.8791,83.3361,1.3382,5.5254,16.3521,NE,0,43.1389,57.1128,0,130.0549,0.5347,36.3765,2.1963,0.5247,0.2421,Peaty,0.431,0.4303,0.4086,0.3814,0,0.2376,0.1822,low
Brookhaven,40.6936,-72.4691,680.9538,0.2728,40.0,100.0,5.1717,10.7922,7.5708,NW,0,40.0,46.1938,0,35.428,3.3264,249.1781,7.9042,0.3243,0.7829,Clay,0.6167,1.1009,0.3916,0.3665,0,0.1866,0.2508,low
Islip,40.6936,-73.4844,5955.8408,0.9415,73.6363,100.0,1.2308,19.0064,7.8174,SW,0,76.2427,84.5211,1,39.8613,1.4838,22.425,0.488,0.911,0.0683,Silty-Clay,0.4982,0.3092,0.6798,0.539,0,0.2474,0.4004,moderate
Smithtown,40.6349,-73.3275,809.5006,0.036,78.8689,67.9779,0.7319,2.009,8.2042,NW,9,80.4773,93.6347,0,20.3214,1.6765,183.392,4.4361,0.034,1.0,Clay-Loam,0.2384,0.8785,0.6138,0.4941,0,0.4797,0.2688,moderate
Babylon,41.1197,-72.372,104.6405,0.0049,85.7924,76.1156,3.4562,16.7337,10.3724,NW,0,86.6327,97.6058,0,25.7689,1.8357,358.8109,3.279,0.003,0.4987,Loamy,0.3308,0.6213,0.637,0.5478,0,0.3953,0.2859,moderate
Hempstead,40.9607,-73.4914,6275.6295,1.0,40.0,100.0,0.1173,7.6986,10.5509,NW,5,40.0,48.9364,0,48.6687,8.1234,293.0293,5.1407,1.0,0.0,Clay-Loam,0.5227,0.1375,0.5664,0.4051,0,0.1556,0.2957,low
North Hempstead,41.0248,-73.2266,153.5592,0.135,71.9895,87.8863,1.0847,4.4807,6.7592,W,0,71.082,80.8163,0,59.6307,3.8735,221.479,0.3353,0.1079,0.4635,Silty-Clay,0.3431,0.2038,0.6535,0.4943,0,0.309,0.2407,low
Oyster Bay,40.6124,-72.5672,558.9682,0.0,74.3674,80.5189,21.2266,28.0155,7.5243,SW,0,63.4821,77.0275,0,98.6324,1.8648,110.2513,4.3373,0.0,0.6803,Loamy,0.4979,1.5778,0.5115,0.3556,0,0.3213,0.2214,low
Long Beach,41.1819,-72.3238,8495.578,1.0,54.0429,100.0,2.582,6.1479,5.3953,S,0,54.9353,63.3354,0,42.1617,4.7123,224.6025,4.1218,0.5088,0.0,Loamy,0.4464,1.1599,0.5027,0.373,0,0.1565,0.2744,low
Glen Cove,41.0995,-72.3917,7209.2529,0.9842,62.3578,93.819,1.708,10.7734,5.01,S,0,69.5021,83.1986,0,66.3212,6.2966,189.7349,4.1124,0.8777,0.0146,Clay,0.369,0.5204,0.6022,0.409,0,0.2046,0.2769,low
Freeport,40.7274,-73.1187,622.6385,0.0611,59.2895,69.8614,2.2005,7.8894,4.9937,S,0,51.9188,59.2895,0,56.7277,1.5916,153.39,4.6252,0.0531,0.9207,Clay-Loam,0.3453,0.2733,0.4128,0.5241,0,0.3534,0.2016,moderate
Port Jefferson,40.7091,-72.2893,1810.3679,0.2005,76.8022,90.956,3.0016,4.7977,7.47,N,0,73.8725,86.6405,0,71.6004,2.6683,47.0557,5.6423,0.2012,0.4638,Rocky,0.3776,1.2255,0.352,0.5388,0,0.3226,0.1832,low
Patchogue,40.71,-73.0967,1881.3086,0.1481,81.9251,88.1543,3.9639,5.2035,4.3623,SE,0,83.5706,97.0461,0,29.1443,0.6499,319.1775,8.1735,0.1663,0.6549,Sandy,0.3183,0.8193,0.6165,0.4903,0,0.3501,0.2592,moderate
Bay Shore,40.7825,-72.9468,591.6169,0.1809,52.2141,81.2222,0.7534,8.6653,0.5378,SW,3,58.4783,65.2965,0,32.1253,0.9993,161.9225,1.5723,0.1005,0.6711,Clay-Loam,0.4433,0.3429,0.7132,0.3692,0,0.2561,0.2846,low
Lindenhurst,40.9149,-72.231,915.3165,0.1599,73.1965,80.6512,1.5445,24.8146,6.3007,NE,0,70.9554,80.2589,0,29.1539,5.7147,70.0641,8.7163,0.1618,0.6371,Sandy-Loam,0.5166,0.4433,0.5759,0.3704,0,0.3104,0.2616,low
West Islip,40.8592,-72.3956,1709.3019,0.1559,44.9582,100.0,3.6665,7.8818,3.3402,W,0,41.497,48.1519,0,111.6348,1.001,132.3934,3.4483,0.0984,0.4936,Sandy-Loam,0.5768,0.3361,0.3679,0.2787,0,0.1492,0.1459,low
Ronkonkoma,40.7747,-72.0563,8111.9477,0.8705,69.1848,79.3494,9.1035,22.3085,8.548,NE,0,59.3402,71.4062,0,127.6612,3.7239,149.0867,0.4009,0.9582,0.1027,Loamy,0.4728,1.8752,0.4682,0.3586,0,0.2566,0.2741,low
